ds;uf;estado;regiao;additive_terms;additive_terms_lower;additive_terms_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;residuo;trend;trend_lower;trend_upper;yearly;yearly_lower;yearly_upper;yhat;yhat_lower;yhat_upper;populacao;y;y_100mil_hab;yhat_100mil_hab;yhat_lower_100mil_hab;yhat_upper_100mil_hab
2001-01-01;TO;Tocantins;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1198326;36,0;3,004190846230492;0,0;0,0;0,0
2001-02-01;AC;Acre;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;595576;36,0;6,044568619286204;0,0;0,0;0,0
2001-02-01;AL;Alagoas;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2920281;76,0;2,6024892809972737;0,0;0,0;0,0
2001-02-01;AM;Amazonas;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2914425;145,0;4,975252408279506;0,0;0,0;0,0
2001-02-01;AP;Amapa;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;510910;13,0;2,5444794582216046;0,0;0,0;0,0
2001-02-01;BA;Bahia;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13601875;504,0;3,705371502090704;0,0;0,0;0,0
2001-02-01;CE;Ceara;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7672915;264,0;3,440674111468718;0,0;0,0;0,0
2001-02-01;DF;Distrito Federal;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2129770;41,0;1,9250905027303418;0,0;0,0;0,0
2001-02-01;ES;Espirito Santo;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3222170;95,0;2,948323645245285;0,0;0,0;0,0
2001-02-01;GO;Goias;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5144274;76,0;1,4773707621328103;0,0;0,0;0,0
